id,group,item,effort,risk,disposition,backlog_status,overnight_safe,worktree_parallelism,dependencies,key_locations,open_decision,analysis
FLOW-00,In-flight,Land the uncommitted artist-socials client-bundle fix,S,Low,PR (commit),Closed,Yes,n/a,none,"apps/web/src/lib/artist-socials.ts (now committed + imported by lib/server/artists.ts, routes/admin/artists.tsx, routes/artist.$slug.tsx)",none,"CLOSED 2026-07-07: LANDED on main. artist-socials.ts is committed and imported across the artist surfaces; the client-bundle fix is done. Unblocks COPY-01 + REF-02 (both now Ready, no dependency)."
ADM-01,Admin IA,Rename Plans -> Playlists + group Playlists+Mixtapes under one Shadcn sidebar group,M,Low,Sequenced-PR,Done,Yes,Sequenced within ADM cluster (touches admin-sidebar.tsx); NOT parallel with ADM-02..05,none,apps/web/src/components/admin/admin-sidebar.tsx (OBJECT_ENTRIES / HOME_ENTRY / SYSTEM_ENTRY / AdminNavCurrent); routes/admin/plans.tsx,RESOLVED: group name = Sets,Today both Plans and Mixtapes nav items point at /admin/plans (Mixtapes is a redirect stub). Add a SidebarGroup + SidebarGroupLabel labelled 'Sets'; rename the plans entry label to Playlists. Ready to run.
ADM-02,Admin IA,Mixtapes = its own page (list minted mixtapes; Log ID + distribution links out),M,Med,Sequenced-PR,Done,Yes,Sequenced within ADM cluster; depends on ADM-01 nav group,ADM-01 (nav),"routes/admin/mixtapes.tsx (currently redirect-only stub -> real page); lib/server/orpc/admin-mixtapes.ts:152 (list_mixtapes_admin -> listMixtapes hydrateMembers+includeUnpublished ALREADY EXISTS); db/schema.ts (mixtape_social_posts holds distribution urls, derived as externalUrls)",none,"UNBLOCKED (DATA-01 closed). THE REAL GAP: published mixtapes have NO admin UI home today — /admin/mixtapes redirects to /admin/plans, and /admin/plans lists PLANS (videoless recordings, e.g. dark-aurora-roller) not mixtapes, so Mixtape #1 (019.F.1A) exists in data but is invisible in the UI. Fix = build the real /admin/mixtapes page over the EXISTING list_mixtapes_admin op; #1 appears automatically as just another published-mixtape row. Each row: F-marked Log ID + outbound distribution links (YouTube/Mixcloud from mixtape_social_posts externalUrls). Route + query only, no backfill. Effort M-L -> M."
ADM-03,Admin IA,Studio group: split Recordings (list + Upload button) from Clips (library + drip toggle only),M,Med,Sequenced-PR,Done,Yes,Sequenced within ADM cluster (touches admin-sidebar.tsx + clips.tsx + new recordings route),ADM-01 (nav),routes/admin/clips.tsx (today = recordings index + clip library + drip kill switch); components/admin/upload-recording-dialog.tsx; routes/admin/studio.$recordingId.tsx; components/admin/clip-card.tsx (ClipDrip/DripChip),none,Today Clips and Recordings both point at /admin/clips. Move the recordings index + Upload-recording out into a Recordings route; recording click -> existing /admin/studio/<id> workstation. Clips route becomes the 'Google Drive' (library + drip toggle only). Nav: Studio group with Recordings + Clips.
ADM-04,Admin IA,Sidebar variant=floating + color-match the plate,S,Low,Sequenced-PR,Done,Yes,Sequenced within ADM cluster (touches admin-sidebar.tsx + admin-shell.tsx),none (conflicts with other ADM),components/admin/admin-sidebar.tsx (Sidebar collapsible=icon; add variant=floating); components/admin/admin-shell.tsx (plate tokens); packages/ui/src/components/sidebar.tsx,none,Sidebar is currently the default variant=sidebar sitting inside SidebarInset. Add variant=floating and match the plate's translucent/backdrop-blur token so sidebar and plate share one surface color. Small but visual -> verify in a driven browser.
ADM-05,Admin IA,Collapsed-sidebar wordmark overflow -> show the Fluncle logo instead,S,Low,Sequenced-PR,Done,Yes,Sequenced within ADM cluster,ADM-01,"components/admin/admin-sidebar.tsx (SidebarHeader .admin-wordmark, group-data-[collapsible=icon]:hidden); apps/web/public/fluncle-transparant.png; styles.css ~2885","RESOLVED: use apps/web/public/fluncle-transparant.png inside a lighter circle (the transparent guy is invisible on the dark drop, so give it a lighter circular backing)","The 'fluncle admin' wordmark is hidden entirely on collapse today. Show fluncle-transparant.png on a lighter circular backing when collapsed to the icon rail (and consider showing it always, per the original note). Asset confirmed present in public/. Ready to run."
DIST-01,Distribution,Actually push to YouTube + TikTok from the dashboard up-next row (+ Copy caption / Copy cover),M,Med,PR,Done,Yes,Sequenced after ADM cluster (touches admin/index.tsx + attention.ts; reuses push infra),ADM restructure (ideally),routes/admin/index.tsx (QueueRow ~632); lib/attention.ts (PrimaryAction ~385); components/admin/push-dialog.tsx; components/admin/use-publish.ts; packages/contracts/src/orpc/admin-social.ts (draftTrackSocial/updateTrackSocial); lib/server/postiz.ts,none,Push infra ALREADY exists (Postiz via adminSocialContract; push-dialog + use-publish). The row only surfaces copy-caption + mark-posted today. Task = surface the existing YT/TT push + Copy caption + Copy cover actions on the up-next row. Not new backend.
DIST-02,Distribution,Make the admin dashboard mobile-first (operate distribution from iPhone),L,Med,PR-pass,Done (code — real-device iPhone verify is the operator's),Partial,Sequenced LAST (after IA settles + DIST-01),ADM cluster; DIST-01,styles.css (.admin-workspace coarse-pointer floor); routes/admin/route.tsx (.admin-workspace hook); routes/admin/findings.tsx (header labels); tests/browser/admin-touch-smoke.ts,none,"DONE 2026-07-08. Recon (playwright newAdminPage at iPhone 390px, the loginAsAdmin fixture) found the admin ALREADY structurally responsive — the ADM IA restructure + floating sidebar (off-canvas on mobile) + Object Row did the layout work; zero horizontal overflow on any surface. Two real gaps remained + fixed: (1) every in-page control was 32px (fine for a mouse, small for a thumb) — added a coarse-pointer-only 44px floor scoped to .admin-workspace (broadened to raw <button> too, since renders/board use raw buttons), so touch gets 44px and desktop keeps its dense 32px rhythm; verified the dense pipeline board's column grid still aligns under the floor; (2) the findings header title truncated to 'F...' behind the Submissions+Add-finding buttons — labels collapse to icons under sm (aria-label carries the name). The push flow on the dashboard is inline (usePublish, no dialog); dialogs deliberately excluded (the public StoriesDialog shares [data-slot=dialog-content]). Durable guard: admin-touch-smoke.ts asserts all-≥44px on a touch context AND stays-dense on a mouse context, across 8 surfaces. Remaining = operator's real-iPhone pass on the actual device."
DATA-01,Data,Backfill Mixtape #1 (pre-recordings era) so it appears on the Mixtapes page,-,None,Investigation,Closed,-,n/a,none,apps/web/src/db/schema.ts (mixtapes/mixtape_social_posts/mixtape_tracks/recordings); apps/web/scripts/backfill-plan-recording-mixtape.ts (step 3); drizzle/0022_dusty_joshua_kane.sql,none,"CLOSED (spike 2026-07-07): premise was stale. Mixtape #1 ALREADY EXISTS fully-minted as 019.F.1A with a Log ID, a synthesized recording link (#239), distribution rows in mixtape_social_posts (migration 0022), a frozen tracklist, and 019.F.1A/set.mp4. Two backfills closed the gap in July 2026, and the folded db:backfill (runs every deploy, step 3) guarantees any published mixtape with a null recording_id gets linked. NO migration/DB write needed. Re-mint is impossible (reuse guards). Only optional action: a read-only prod verify that 019.F.1A has recording_id non-null + sequence 1 + its YT/Mixcloud social rows. The real work is entirely ADM-02 (the UI)."
STAT-01,Status,Add missing cron titles + descriptions on /status (reconcile ALL crons),S,Low,PR,Done,Yes,Parallel (isolated file),none,routes/status.tsx SERVICE_LABELS (~81) + SERVICE_SUBTITLES (~108); reconcile against the full cron list from @fluncle/registry cronSurfaces(),none,"CONFIRMED bug class (3+ crons bare): embed, clip-drip, and backup all render their stripped name with no subtitle because they have NO key in SERVICE_LABELS/SERVICE_SUBTITLES (serviceLabel() falls back to stripping 'cron.'; serviceSubtitle() returns undefined). FIX COMPLETELY: add a title+subtitle for EVERY cron in cronSurfaces() that lacks one — known-missing = cron.embed (MuQ audio embedding), cron.clip-drip (Instagram clip drip-feed), cron.backup (daily DB backup to R2) — and audit the rest so no cron is ever bare. Next-run already computes fine. Small + isolated (status.tsx only). COLLISION NOTE 2026-07-07: operator has UNCOMMITTED in-flight edits to status.tsx adding cron.artist-follow + cron.artist-sweep labels/subtitles (+ agent-discovery + healthcheck) — STAT-01 must LAND AFTER that commits and only ADD the still-missing embed/clip-drip/backup, not race it. Best first quick win once that lands."
