domain,order_hint,job,status,trigger,executor,runs_on,input,output,surfaces,primary_surface,drop_from,tests,notes
intake-enrichment,10,Submit a candidate finding,live,event:crew-submit,human,cloudflare,a Spotify link or search pick,submissions row (status=pending) + Discord ping,cli-public;api,cli-public,,yes,createSubmission submissions.ts; fluncle submit; SSH TUI + MCP/WebMCP also POST /api/submissions; submissions.integration.test.ts
intake-enrichment,15,Review the candidate tray (approve/reject),live,operator,human,cloudflare,pending submissions row,submission status approved|rejected (approve publishes via add first),cli-admin;api,web-admin,,yes,list/approve/rejectSubmission orpc/admin-submissions.ts; cli submissions.ts; NO web-admin UI — operator reviews via CLI
intake-enrichment,20,Add a finding (operator publish),live,operator,human,cloudflare,a Spotify track URL,tracks row live (Spotify playlist + Telegram + Log ID),cli-admin;raycast;api,web-admin,,partial,publishTrack publish.ts; cli add.ts + raycast quick-add; Spotify/Telegram/push/IndexNow side-channels; no web-admin add UI (gap)
intake-enrichment,25,Add + triage findings from web admin (intake station),desired,operator,human,browser;cloudflare,a Spotify link or a pending submission,a published finding from the operator's own platform,,web-admin,,none,web add does NOT exist today (CLI+raycast only); cockpit-roadmap.md intake + persona law (web admin = operator platform)
intake-enrichment,30,Mint the Log ID coordinate,live,event:add,system,cloudflare,found date + ISRC (Spotify id fallback),log_id on tracks row (permanent Galaxy coordinate),api,api,,partial,resolveLogId log-id.ts; Deezer ISRC fallback runs before the hash; minting untested (decode tested log-schema.test.ts)
intake-enrichment,35,Enrich label + live preview from Deezer,live,event:add,system,cloudflare,the finding's ISRC,label + preview_url on tracks row (best-effort),api,api,,partial,enrichFromDeezer/lookupIsrcFromDeezer deezer.ts; preview-live.test.ts exercises Deezer resolve; on-add enrich itself untested
intake-enrichment,40,Resolve the Discogs release id,live,event:add;cron:fluncle-backfill,system,cloudflare;rave-02,artist + title + album (Discogs has no ISRC search),in_release_id/in_master_id on tracks row (sameAs on /log),api;box-script,api,,yes,discogsResolveRelease discogs.ts + backfill.ts; MB ISRC bridge then gated search; discogs.test.ts + orpc-admin-backfills.test.ts
intake-enrichment,45,Love the finding on Last.fm,live,event:add;cron:fluncle-backfill,system,cloudflare;rave-02,artist + title,a Loved Track on Fluncle's Last.fm; lastfm_loved_at marker,api;box-script,api,,yes,lastfmLove lastfm.ts + backfill.ts; idempotent + rate-limited + cooldown; lastfm.test.ts + backfill-loved.test.ts
intake-enrichment,50,"Analyze the preview audio (BPM, key, features)",live,cron:fluncle-enrich,system,rave-02,the finding's official 30s preview (Deezer/iTunes),bpm + key + features_json; enrichment_status=done|failed,cli-admin;box-script;api,api,,yes,enrich-sweep.ts (5m) → analyze-track.ts ffmpeg+DSP on-box → admin tracks update; features = auto-vibe training signal; analyze-audio.test.ts
intake-enrichment,45,Embed a track (MuQ),partial,cron:fluncle-embed,system,rave-02,the finding's official 30s preview (via /api/preview),embedding_json — a 1024-d MuQ vector on the tracks row,cli-admin;box-script;api,api,,partial,embed-sweep.ts + embed-track.py (5m; on-box torch/MuQ) → admin tracks update --embedding-file; queue = embedding_json IS NULL (hasEmbedding filter); replaces manual vibe tagging (spike 2026-07-06); box deploy operator-gated on the MuQ image layer; embedding.test.ts
intake-enrichment,46,Place a finding from its embedding (clustering),desired,event:embedded,system,cloudflare,the track's MuQ embedding,auto placement coords (supersedes vibe_x/vibe_y manual entry),,api,web-admin(tag tool retires),none,supersedes /admin/tag + the tag dialog; Phase 2 of the audio-embedding RFC (k-means over embedding_json); the four galaxies stay as brand fiction
intake-enrichment,47,Show a finding's sonic neighbours (more like this),partial,event:log-view,system,cloudflare,the finding's embedding + every other embedding,top-N sonically-nearest findings (get_similar_findings),web-public;api,web-public,,yes,get_similar_findings cosine-ranks embedding_json (brute-force in the Worker) → the /log more-like-this row (cover-led); dark until the embed cron backfills vectors; embedding.test.ts + tracks-similar.test.ts
intake-enrichment,55,Re-queue a finding for enrichment,live,operator,human,cloudflare,a finding (any enrichment_status),enrichment_status=pending (queue-eligible again),web-admin;cli-admin;api,web-admin,,partial,EnrichDialog enrich-dialog.tsx → update_track status=pending; on-box cron picks it up next tick; enrich-queue.test.ts
intake-enrichment,60,Archive the analyzed preview (private),live,agent,system,rave-02;cloudflare,the exact official preview analyzed,R2 operator-only archive path + preview_archive_* metadata,cli-admin;api,cli-admin,,yes,preview-archive.ts; fluncle admin tracks preview; NOT run by enrich-sweep — skill/manual only; preview-archive.test.ts
intake-enrichment,65,Gather the context note (Firecrawl facts),live,cron:fluncle-context-note,system,rave-02;cloudflare,the finding's identity (artist/title/label),context_note (distilled facts + Texture line) + context_status marker,cli-admin;box-script;api,api,,yes,context-sweep.ts (5m) triggers context_track; Worker Firecrawl + OpenRouter distill; fetchTrackContext observation.ts; observation.test.ts
intake-enrichment,70,Auto-author the editorial /log note,live,cron:fluncle-note,ai,rave-02;cloudflare,the stored context_note + identity,note on tracks row (fill-empty-only; voice-gated),cli-admin;box-script;api,api,,yes,note-sweep.ts (10m hybrid) claude -p authors → note_track Worker voice-gate + fill-empty; gateNoteText note.ts; note.test.ts
intake-enrichment,75,Author the spoken audio observation,live,cron:fluncle-observation,ai,rave-02;cloudflare,the stored context_note + identity,"observation.{mp3,txt,json} on R2 + observation_audio_url on row",cli-admin;box-script;api,api,,yes,observe-sweep.ts (60m hybrid) claude -p authors → observe_track renders Cartesia Sonic; observation.ts; observation.test.ts
intake-enrichment,80,Backfill a finding's BPM (manual repair),live,operator,human,M5;cloudflare,a finding with null/fake/stale BPM,corrected bpm on tracks row,cli-admin,cli-admin,,partial,fluncle-bpm-backfill skill; AcousticBrainz-by-ISRC then transient yt-dlp+DSP fallback; approval-gated; analyze-track.acousticbrainz.test.ts
intake-enrichment,85,Backfill a finding's musical key from Rekordbox,live,operator,human,M2;cloudflare,Rekordbox master.db keys + null-key findings,normalized key on tracks row,cli-admin;m2-script,cli-admin,,none,fluncle-key-backfill skill; reads DjmdContent.Key.ScaleName; matches title+artist; dry-run then admin tracks update --key; M2 only
